NOTE the accuracy results in the csv file are not correct I forgot to adjust the normalization in the KNN code !!!  
So just pay attention to the Loss ! 
(I need to run through the checkpoints and calculate the val loss but probbaly using the last epoch should be fine !)
epoch,train_loss,test_acc@1,test_acc@5
655,2.826583687792119,36.61,58.879999999999995
660,2.8262695823748087,34.9,58.37
665,2.751718287615432,37.07,59.45
670,2.7116748008531393,32.48,56.66
675,2.745280693486794,39.17,61.86000000000001
680,2.774301885329571,36.120000000000005,60.23
685,2.778630369717313,34.339999999999996,58.43000000000001
690,2.667153936071494,36.34,59.21999999999999
695,2.7727262482200703,38.129999999999995,59.68
700,2.7697667706873,37.79,61.17
705,2.664282725029385,38.7,59.699999999999996
710,2.828921504856385,40.32,63.05
715,2.7123030399538806,38.4,62.23
720,2.783849947231332,36.370000000000005,58.85
725,2.785820825812743,38.97,61.47
730,2.738886312111137,38.67,62.22
735,2.7095474778991386,37.96,60.56
740,2.672930456928371,36.95,59.72
745,2.683706481432177,39.24,61.040000000000006
750,2.638601215844302,40.35,62.529999999999994
